学号	志愿类型	GPA	平均绩点排名
8602	第五志愿	2.48	322
23755	第三志愿	2.45	327
13108	第五志愿	2.41	331
16537	第三志愿	2.41	331
14605	第五志愿	2.4	335
12016	第五志愿	2.4	335
11857	第三志愿	2.4	335
23752	第四志愿	2.38	338
11830	第一志愿	2.35	344
8254	第一志愿	2.33	347
12583	第五志愿	2.3	350
14578	第五志愿	2.27	356
21547	第三志愿	2.26	358
24133	第二志愿	2.26	358
21676	第四志愿	2.19	365
12037	第二志愿	2.17	367
17305	第五志愿	2.16	369
21685	第一志愿	2.15	370
16009	第五志愿	2.08	373
14020	第五志愿	2.03	374
8026	第五志愿	1.97	380
16186	第五志愿	1.9	383
14599	第二志愿	1.9	383
15043	第五志愿	1.76	387
15664	第三志愿	1.76	387
23173	第三志愿	1.72	389
